TERM,CRN,SUBJ,NUM,TITLE,UNIT,CRED,INSTR_MODE,DAYS,TIME,DAYS.1,ADDTL_TIM,P,LMT,ENR,INSTRUCTOR
202680,80543,ENVS,261.00,Geographic Information Science,.50,4,,WF,0840-1000,,-,PI,12,,"Holdener,E,,"
202680,80544,ENVS,341.00,Science of Climate Change,.50,4,,TR,0940-1100,,-,,24,,Dr. Staff
202680,80575,ENVS,392.00,ST: Forest Ecology Lab,.25,2,,W,1310-1600,,-,,10,,"Schmitt,L,,"
202680,80545,FILM,111.01,Introduction to Film,.50,4,,TR,1440-1600,,-,,20,,"Tazewell,J,,"
202680,80546,FILM,111.02,Introduction to Film,.50,4,,TR,1440-1600,,-,,20,,"Sherman,J,,"
202680,80548,FILM,231.00,Screenwriting,.50,4,,TR,1310-1430,,-,PI,12,,"Sherman,J,,"
202680,80547,FILM,261.00,Directing for the Camera,.50,4,,W,1310-1600,,-,PI,12,,"Tazewell,J,,"
202680,80579,FILM,288.00,Narrative Podcasting,.50,4,,TR,1310-1430,,-,,16,,"Silverman,F,,"
202680,80549,FILM,480.00,Senior Seminar in Film,.50,4,,F,1310-1600,,-,,15,,"Sherman,J,,"
202680,80012,FREN,111Y.01,Intensive Intro French,.75,6,,TR,0940-1100,MW,1010-1100,,18,,"Guiney,M,,"
202680,80013,FREN,111Y.02,Intensive Intro French,.75,6,,T,0810-0930,MWF,0910-1000,,18,,"Malone,M,,"
202680,80014,FREN,213Y.01,Intermediate French,.50,4,,MWF,1010-1100,,-,,18,,"Curtis,I,,"
202680,80015,FREN,213Y.02,Intermediate French,.50,4,,MWF,1110-1200,,-,,18,,"Dairon,P,,"
202680,80016,FREN,250.00,The French Detective Novel,.50,4,,WF,1410-1530,,-,,18,,"Curtis,I,,"
202680,80017,FREN,321.01,Adv Composition & Conversation,.50,4,,MWF,1210-1300,,-,,18,,"Curtis,I,,"
202680,80018,FREN,321.02,Adv Composition & Conversation,.50,4,,MWF,1310-1400,,-,,18,,"Dairon,P,,"
202680,80019,FREN,323.00,French Lit Before 1800,.50,4,,MWF,1410-1500,,-,,18,,"Dairon,P,,"
202680,80020,FREN,346.00,Romantics & Realists,.50,4,,TR,1310-1430,,-,,18,,"Guiney,M,,"
202680,80185,GERM,111Y.00,Intensive Intro German,.75,6,,TR,0940-1100,MWF,1010-1100,,18,,"Riegert,L,,"
202680,80186,GERM,213Y.00,Intermediate German Language,.50,4,,MWF,1110-1200,,-,,15,,"Gebhardt,P,,"
202680,80187,GERM,321.00,Adv Composition & Conversation,.50,4,,MWF,0910-1000,,-,,12,,"Gebhardt,P,,"
202680,80188,GERM,363.00,From Nietzsche to Kafka,.50,4,,WF,1410-1530,,-,,12,,"Gebhardt,P,,"
202680,80593,GREK,101Y.00,Elementary Ancient Greek,.50,4,,MWF,1310-1400,,-,,22,,"Myers,M,,"
202680,80586,GREK,201.00,Intermediate Greek: Prose,.50,4,,MWF,1210-1300,,-,,10,,"Barich,M,,"
202680,80587,GREK,301.00,Advanced Greek,.50,4,,MWF,1310-1400,,-,,10,,"Hahnemann,C,,"
202680,80485,GSS,111.00,Intro to Gender & SexualitySt,.50,4,,TR,1310-1430,,-,,20,,"López,I,,"
202680,80486,GSS,330.00,Feminist Theory,.50,4,,WF,0840-1000,,-,,20,,"O'Neill,R,,"
202680,80060,GSS,497.00,Senior Honors,.50,4,,,-,,-,GP,5,,"O'Neill,R,,"
202680,80040,HIST,100.02,History First-Year Seminar,.50,4,,T,1900-2200,,-,,20,,"Singer,W,,"
202680,80038,HIST,120.00,Early Latin America,.50,4,,MWF,1410-1500,,-,,20,,"Franco,R,,"
202680,80022,HIST,126.00,Early Middle Ages 300-1100,.50,4,,WF,0840-1000,,-,,20,,"Novikoff,A,,"
202680,80030,HIST,131.00,Early Modern Europe,.50,4,,TR,1310-1430,,-,,20,,"Rivest,J,,"
202680,80024,HIST,145.00,Early Africa,.50,4,,MWF,0910-1000,,-,,25,,"Volz,S,,"
202680,80027,HIST,161.00,Early East Asia,.50,4,,MWF,1110-1200,,-,,20,,"Li,L,,"
202680,80023,HIST,180.00,Hist of the N Amer Wilderness,.50,4,,MWF,1010-1100,,-,,20,,"Bottiger,P,,"
202680,80049,HIST,210.00,War for Black Freedom,.50,4,,TR,0940-1100,,-,,12,,"McNair,G,,"
202680,80028,HIST,218.00,History of Mexico,.50,4,,MWF,1210-1300,,-,,25,,"Franco,R,,"
202680,80026,HIST,226.00,The British Empire,.50,4,,MWF,1010-1100,,-,,25,,"Buxton,H,,"
202680,80025,HIST,228.00,Empires & Nations in E Europe,.50,4,,TR,0940-1100,,-,,25,,"Ablovatski,E,,"
202680,80029,HIST,258.00,Ottoman Empire,.50,4,,TR,1310-1430,,-,,25,,"Kilic-Schubel,N,,"
202680,80045,HIST,291.01,ST: Pending CPC Approval,.50,4,,WF,1410-1530,,-,,20,,"Li,L,,"
202680,80046,HIST,291.02,ST: Pending CPC Approval,.50,4,,TR,1440-1600,,-,,25,,"Coulibaly,S,,"
202680,80041,HIST,318.00,The North American Wests,.50,4,,W,1900-2200,,-,,12,,"Bottiger,P,,"
202680,80039,HIST,328.00,"Crusades:Relgn,Violnce,Med Eur",.50,4,,M,1900-2200,,-,,12,,"Novikoff,A,,"
202680,80043,HIST,329.00,"Alchemy, Astrology & Magic",.50,4,,W,1900-2200,,-,,12,,"Rivest,J,,"
202680,80031,HIST,342.00,History of Public Health,.50,4,,M,1310-1600,,-,,12,,"Buxton,H,,"
202680,80034,HIST,380.00,Black Hist thru Fiction & Film,.50,4,,M,1310-1600,,-,,12,,"McNair,G,,"
202680,80035,HIST,387.00,Practice and Theory of History,.50,4,,W,1310-1600,,-,,12,,"Coulibaly,S,,"
202680,80036,HIST,444.00,Faith and Power in Africa,.50,4,,R,1310-1600,,-,,12,,"Volz,S,,"
202680,80032,HIST,490.01,Senior Seminar,.50,4,,T,1310-1600,,-,,8,,"Buxton,H,,"
